claim_id,title,statement,status,layer,dependencies,not_claimed,first_document,first_version,first_date,doi,github_tag,commit_hash,website_url,failure_condition,downstream_claims
FDS-T1-005,Budget-Exit Theorem,"If Delta_FDS > 0 persists, observer must enter at least one exit class.",Conditional theorem,Physical Bridge,FDS-T1-004; FDS-CORE-005,Does not predict which exit.,FDS-T1,v0.1,2026-05-14,,,,,Full-fidelity task under sustained deficit with no exit.,FDS-T1-006;FDS-T1-007
FDS-T1-006,Maintenance Inequality,Positive deficit implies Landauer-style lower bound on thermodynamic maintenance cost for irreversible erasure.,Conditional physical bridge,Physical Bridge,FDS-T1-005; Landauer bridge,Lower bound only; not full thermodynamic model.,FDS-T1,v0.1,2026-05-14,,,,,Irreversible erasure below Landauer cost.,
FDS-T1-007,Budget-Crossing Signature,"As chi = R_min - C_acc crosses zero, observers should show measurable transitions.",Testable prediction,Physical Bridge,FDS-T1-005,Magnitude depends on system class.,FDS-T1,v1.1,2026-05-16,,,,,No transition under controlled budget crossing.,
FDS-T1-008,Bottleneck-Switching Kink,Rate-distortion error floor shows slope discontinuities at bottleneck switches.,Conditional theorem,Physical Bridge,FDS-T1-003; rate-distortion,Kink magnitude is model-dependent.,FDS-T1,v0.1,2026-05-14,,,,,Smooth error floor with no measurable slope change.,
FDS-P4-001,Non-Injective Truncation Creates Preimage Uncertainty,Non-injective truncation creates preimage uncertainty relative to the effective record.,Formal information claim,Physical bridge,FDS-CORE-005,,FDS-P4,v1.0,2026-05-18,10.5281/zenodo.20265065,,,,"A many-to-one map contains enough information, without side records or conventions, to distinguish all of its preimages.",
FDS-P4-002,Bayes-Optimal Exact Recovery Bound,Bayes-optimal guaranteed exact preimage recovery is bounded by the largest conditional preimage mass.,Decision-theoretic bound,Physical bridge,FDS-P4-001; Bayes decision theory,,FDS-P4,v1.0,2026-05-18,10.5281/zenodo.20265065,,,,A decoder using only Z exceeds the Bayes-optimal classifier bound for X|Z.,
FDS-P4-003,Informational Hysteresis,Capacity recovery does not recover distinctions erased during a bottleneck.,Informational hysteresis theorem,Physical bridge,FDS-P4-001; side-record criterion,,FDS-P4,v1.0,2026-05-18,10.5281/zenodo.20265065,,,,"A finite system recovers exact task-relevant preimage distinctions after capacity restoration with no side record, no enlarged boundary, no external trace, and no hidden convention.",
FDS-P4-004,Non-Lumpability Creates Hidden-State Memory,Non-lumpable coarse-graining creates hidden-state memory and effective stochasticity.,Markov projection bridge,Physical bridge,FDS-P4-001; lumpability condition,,FDS-P4,v1.0,2026-05-18,10.5281/zenodo.20265065,,,,"A non-lumpable projection closes exactly on Z_t alone without hidden state, history, or extra variables.",
FDS-P4-005,Mori-Zwanzig Memory Burden,Projection-induced memory burden has a Mori-Zwanzig analogue.,Relation to standard theory,Physical bridge,FDS-P4-004; Mori-Zwanzig formalism,,FDS-P4,v1.0,2026-05-18,10.5281/zenodo.20265065,,,,"Eliminated variables never reappear as memory, noise, or closure error in projected dynamics, even when lumpability fails.",
FDS-P4-006,Externalization Restores Inverse Information Only by Moving It,Externalization restores inverse information only by moving it to a side ledger.,Accounting-boundary bridge,Physical bridge,FDS-P4-001; external cost model,,FDS-P4,v1.0,2026-05-18,10.5281/zenodo.20265065,,,,"External logs restore exact recovery at no writing, retention, indexing, synchronization, retrieval, verification, or boundary-expansion cost.",
FDS-P4-007,Finite-Memory Exit Theorem,"Sustained truncation requires residual irrecoverability, side records, externalization, task relaxation, or failure.",Finite-memory exit theorem,Physical bridge,FDS-P4-001; FDS-P4-003,,FDS-P4,v1.0,2026-05-18,10.5281/zenodo.20265065,,,,A finite system repeatedly applies non-injective truncation to task-relevant distinctions while preserving exact recovery with no residual uncertainty and no extra ledger.,
FDS-P7-001,Invariant Side-Ledgers Suppress Residual Uncertainty,Invariant side-ledgers can suppress P4 residual inverse uncertainty.,Formal FDS bridge,Physical bridge,FDS-P4-001; invariant quotient map,,FDS-P7,v1.0,2026-05-18,10.5281/zenodo.20265386,,,,"A task variable factors through an accessible invariant, but H(V|Z,Q_inv) remains high under the stated assumptions.",
FDS-P7-002,Noisy Invariant Recovery Bound,Noisy invariant readout gives a bounded recovery penalty.,Information bound,Physical bridge,FDS-P7-001; Fano-style bound,,FDS-P7,v1.0,2026-05-18,10.5281/zenodo.20265386,,,,A noisy invariant readout with error probability δ exceeds the Fano-style bound without hidden information or changed task labels.,
FDS-P7-003,Local Perturbations Cannot Change Protected Invariant,Local perturbations cannot change a protected invariant without a protection-breaking event.,Topological bridge,Physical bridge,FDS-P7-001; local perturbation family; protection margin,,FDS-P7,v1.0,2026-05-18,10.5281/zenodo.20265386,,,,"A local perturbation changes the invariant while the protection gap, locality assumptions, and accounting boundary remain intact.",
FDS-P7-004,NHSE as Model Class,NHSE supplies a model class for invariant-supported persistence.,Physical bridge,Physical bridge,FDS-P7-003; point-gap winding; GBZ structure,,FDS-P7,v1.0,2026-05-18,10.5281/zenodo.20265386,,,,"NHSE is present, but it carries no stable recoverable distinction, no boundary-sensitive protection, and no robustness to local perturbation in the registered model class.",
FDS-P7-005,Protection Relocates Entropy/Resource Accounting,Protection relocates entropy/resource accounting rather than deleting it.,O3-compatible accounting claim,Physical bridge,FDS-P7-001; O3 ledger principle,,FDS-P7,v1.0,2026-05-18,10.5281/zenodo.20265386,,,,"A protected invariant supplies indefinite maintenance with no drive, boundary, refresh, dissipation, verification, control, or external ledger.",
FDS-P7-006,Dual-Channel Signature,Protected phases can generate a dual forgetting/ledger signature.,Experimental bridge,Physical bridge,FDS-P7-004; FDS-P7-005; operational forgetting rate,,FDS-P7,v1.0,2026-05-18,10.5281/zenodo.20265386,,,,Confirmed protection-breaking transition with no feature in operational forgetting and no corresponding resource/entropy signature under a well-powered registered protocol.,
FDS-P6-001,Boundary Maintenance Requires Finite Update Throughput,Boundary maintenance requires finite update throughput.,Formal FDS claim,Physical bridge,FDS-CORE-003; FDS-CORE-005,,FDS-P6,v1.0,2026-05-18,10.5281/zenodo.20269733,,,,"A time-varying boundary is maintained without updating, verifying, storing, externalizing, protecting, or acting on any task-relevant distinction.",
FDS-P6-002,Speed and Precision Jointly Increase Maintenance Burden,Speed and precision jointly increase maintenance burden.,Operational bridge,Physical bridge,FDS-P6-001; rate-distortion demand,,FDS-P6,v1.0,2026-05-18,10.5281/zenodo.20269733,,,,"Faster and more precise maintenance is sustained indefinitely at fixed representation and fixed resource input, with no extra dissipation, error, latency, externalization, invariant compression, or failure.",
FDS-P6-003,Sustainable Internal Rate Is Bottlenecked,"The sustainable internal rate is bottlenecked by sensing, updating, verification, correction, action, and resources.",Bottleneck definition,Physical bridge,FDS-P6-001; FDS-P6-002,,FDS-P6,v1.0,2026-05-18,10.5281/zenodo.20269733,,,,"A system exceeds its slowest internal channel indefinitely without queueing, latency, loss, externalization, or resource expansion.",
FDS-P6-004,Correction and Verification Belong in the Resource Ledger,Correction and verification belong in the resource ledger.,O3-compatible physical bridge,Physical bridge,FDS-P6-001; FDS-P6-003; O3 ledger principle,,FDS-P6,v1.0,2026-05-18,10.5281/zenodo.20269733,,,,"Physical correction, refresh, verification, synchronization, overwrite, and recovery are cost-free under the stated implementation assumptions.",
FDS-P6-005,Effective Causal Update Bandwidth Limits Real-Time Maintenance,Effective causal update bandwidth limits real-time maintenance.,Physical/engineering bridge,Physical bridge,FDS-P6-001; finite causal reach,,FDS-P6,v1.0,2026-05-18,10.5281/zenodo.20269733,,,,"A finite observer integrates arbitrarily distant boundary-relevant information within a finite update window with no latency, no prediction burden, and no effective signal-speed limit.",
FDS-P6-006,"Externalization and Invariant Compression Are Relief Channels, Not Free Exits","Externalization and invariant compression are relief channels, not free exits.",P4/P7-compatible bridge,Physical bridge,FDS-P6-001; P4 side-record criterion; P7 invariant quotient,,FDS-P6,v1.0,2026-05-18,10.5281/zenodo.20269733,,,,"External ledgers or invariant quotients reduce internal demand with no write, synchronization, verification, protection, latency, or boundary-accounting cost.",
FDS-P6-007,Throughput Deficit Exit Theorem,"If rate-distortion demand exceeds sustainable internal throughput, the system must enter at least one exit channel: higher resource/dissipation cost, increased error, latency growth, task relaxation, externalization, invariant compression, resource expansion, or boundary-maintenance failure.",Formal exit theorem,Physical bridge,FDS-P6-001-006,,FDS-P6,v1.0,2026-05-18,10.5281/zenodo.20269733,,,,"Demand exceeds sustainable throughput with no exit channel and no boundary failure, given a valid implementation mapping.",
FDS-X1-001,Horizon as Boundary,Cosmological horizons act as finite distinguishability boundaries for observers.,Frontier Physical Consequences (P3),High-Risk,FDS-T1-001; FDS-T1-002,Not deriving GR or quantum gravity.,FDS-X1,planned,,,,,,Horizon with no distinguishability constraint.,FDS-X1-002
FDS-X1-002,Horizon-Maintenance Scale,"Horizon-maintenance cost has scale rho ~ H^2 M_Pl^2, consistent with dark energy.",Frontier Physical Consequences (P3) — strong candidate (DE-1 B+/A−),High-Risk,FDS-X1-001,Not deriving exact Lambda value.,FDS-X1,planned,,,,,,Dark energy unrelated to horizon-scale physics.,FDS-X1-003
FDS-X1-003,Non-Phantom Dark Energy,Equation of state tends toward w=-1 from above (non-phantom) with possible mild evolution.,"Frontier Physical Consequences (P3) — candidate (DE-3 B−/C+, pending data closure)",High-Risk,FDS-X1-002,Not predicting exact w(z).,FDS-X1,planned,,,,,,Phantom detection (w<-1) at any redshift.,FDS-X1-004
FDS-X1-004,Falsification Contract,X1 claims have explicit falsification conditions stated in advance.,Governance,High-Risk,FDS-X1-001; FDS-X1-002; FDS-X1-003,Not affecting upstream claims.,FDS-X1,planned,,,,,,,
FDS-LC0-001,Registry Structure,"FDS-LC0 registers life/cognitive bridge claims with dependencies, risks, and failure conditions.",Registry governance,Registry,LC0 document,,FDS-LC0,v1.0,2026-05-14,10.5281/zenodo.20183373,,,,,FDS-LC0-002
FDS-LC0-002,Downstream Failure Rule,Failure of life/cognitive bridge does not propagate to upstream physical bridges or core.,Registry governance,Registry,LC0 registry structure,,FDS-LC0,v1.0,2026-05-14,10.5281/zenodo.20183373,,,,,
FDS-A1-001,AI Agency Criterion,An artificial agent is an active finite distinction system maintaining boundary through durable updates.,Conceptual criterion,Frozen,FDS-CORE-002; FDS-CORE-003; FDS-CORE-004; FDS-CORE-005,Not claiming specific architectures are/aren't agents.,FDS-A1,v1.0,2026-05-12,10.5281/zenodo.20184709,,,,A non-FDS system meeting all criteria or an FDS system clearly not agentic.,
FDS-A1-002,AI Line Frozen,Public programme retains FDS-A1 as conceptual timestamp; no proprietary AI development in repo.,Governance,Frozen,,,CONFLICTS_OF_INTEREST,,2026-05-16,,,,,,
FDS-P3-001,Environmental Side Records Have Finite Accessible Recovery Capacity,Environmental side records have finite accessible recovery capacity.,Operational FDS bridge,Physical bridge,FDS-CORE-003; FDS-CORE-005,,FDS-P3,v1.0,2026-05-18,10.5281/zenodo.20272541,,,,"A finite system recovers unbounded inverse information from the environment through a finite observation channel with no latency, cost, degradation, or boundary expansion.",
FDS-P3-002,Markovianization Is an Effective Forgetting Condition,Markovianization is an effective forgetting condition.,Model-class bridge,Physical bridge,FDS-P3-001; lumpability condition,,FDS-P3,v1.0,2026-05-18,10.5281/zenodo.20272541,,,,A projected process is treated as Markovian while accessible history measurably improves prediction or boundary maintenance under the same variables and accounting boundary.,
FDS-P3-003,Memory Kernels Measure Unresolved Environmental Memory,Memory kernels measure unresolved environmental memory.,Projection-form bridge,Physical bridge,FDS-P3-001; projection operator methods,,FDS-P3,v1.0,2026-05-18,10.5281/zenodo.20272541,,,,"Eliminated variables never reappear as memory, noise, or closure error in projected dynamics despite coupling and non-lumpable projection.",
FDS-P3-004,"Finite Baths Can Remember, Forget, and Recur","Finite baths can remember temporarily, forget operationally, and recur.",Physical/model-class caveat,Physical bridge,FDS-P3-001; finite bath capacity,,FDS-P3,v1.0,2026-05-18,10.5281/zenodo.20272541,,,,A finite bath is always exactly Markovian and never returns correlations under any admissible finite-bath model.,
FDS-P3-005,Environmental Forgetting Complements P4 Internal Truncation,Environmental forgetting complements P4 internal truncation.,FDS bridge,Physical bridge,FDS-P3-001; FDS-P4-001,,FDS-P3,v1.0,2026-05-18,10.5281/zenodo.20272541,,,,"Internal preimages are lost, yet environmental side records remain fully accessible indefinitely with bounded cost and no accounting-boundary change.",
FDS-P3-006,Bath Saturation Forces Collisions or Loss of Recoverability,"Bath saturation forces collisions, compression, externalization, verification cost, or loss of recoverability.",Finite-record theorem,Physical bridge,FDS-P3-001; bath record capacity,,FDS-P3,v1.0,2026-05-18,10.5281/zenodo.20272541,,,,"A finite accessible bath stores more distinguishable side records than its operational capacity without collision, compression, indexing, erasure, or hidden expansion.",
FDS-0,Active finite systems maintain boundaries under finite capac...,Active finite systems maintain boundaries under finite capacity.,Core,Core,Formal definitions,,FDS,v1.0,2026-05-12,,,,,Mathematical counterexample under stated hypotheses.,
FDS-B,Active boundary maintenance distinguishes active finite syst...,Active boundary maintenance distinguishes active finite systems from passive mappings.,Core,Core,Boundary variable + update participation,,FDS,v1.0,2026-05-12,,,,,Boundary update ablation has no effect on future maintenance loss.,
CC-1,Capacity deficit arises under finite representation and inco...,Capacity deficit arises under finite representation and incompressible task demand.,Core,Core,Finite capacity + task demand,,CC,v1.0,2026-05-18,,,,,Finite system maintains lossless model of incompressible environment under bounded capacity.,
CC-2,Capacity deficit forces approximation under bounded represen...,Capacity deficit forces approximation under bounded representation.,Core,Core,Finite capacity + nontrivial task demand,,CC,v1.0,2026-05-18,,,,,"Bounded systems maintain exact task-relevant representation without compression, omission, or distortion.",
CC-3,Approximation generates residual error requiring correction ...,Approximation generates residual error requiring correction or tolerance.,Core,Core,Approximation + task loss,,CC,v1.0,2026-05-18,,,,,Approximation produces no residual burden under nontrivial task constraints.,
CC-5,"Persistent capacity deficit drives pruning, externalization,...","Persistent capacity deficit drives pruning, externalization, task relaxation, or collapse.",Core,Core,Capacity deficit + finite resources,,CC,v1.0,2026-05-18,,,,,Persistent deficit produces none of the predicted response modes.,
CC-6,Long-term persistence is favored by invariant-supported stru...,Long-term persistence is favored by invariant-supported structure.,Core,Core,Perturbation family + identity predicate,,CC,v1.0,2026-05-18,,,,,Structures persist without invariant support under sustained perturbation.,
PB-FD,Physically instantiated identity maintenance requires finite...,Physically instantiated identity maintenance requires finite distinguishability budgets.,Bridge,Bridge,Finite physical resources / bounded records,,PB,v1.0,2026-05-18,,,,,A physical system maintains unlimited usable distinguishability within finite resources.,
PB-L,Logically irreversible updates incur a thermodynamic cost un...,Logically irreversible updates incur a thermodynamic cost under Landauer bridge assumptions.,Bridge,Bridge,Standard Landauer conditions,,PB,v1.0,2026-05-18,,,,,Reliable irreversible erasure below the thermodynamic floor under stated conditions.,
O1,An observer can be characterized as a finite distinction reg...,An observer can be characterized as a finite distinction register.,Bridge,Bridge,Finite record capacity,,O1,v1.0,2026-05-18,,,,,Measurement records require no finite registration or boundary-stabilized state.,
O2,Time can be characterized as irreversible distinction update...,Time can be characterized as irreversible distinction update.,Bridge,Bridge,Truncation + irreversible update,,O2,v1.0,2026-05-18,,,,,Finite record-updates are fully invertible under bounded memory in physical implementation.,
O3,Finite-memory operational Second-Law channel for boundary-ma...,Finite-memory operational Second-Law channel for boundary-maintaining active finite systems.,Bridge,Bridge,Finite memory + irreversible record reuse + accounting boundary,,O3,v1.0,2026-05-18,,,,,Sustained residual record turnover at fixed tolerance with no ledger cost and no exit channel under physical bridge assumptions.,
FDS-O3-001,Finite memory creates record-reuse pressure under sustained ...,"Finite memory creates record-reuse pressure under sustained update unless history is externalized, compressed, uncomputed, abandoned, or resources expand.",Bridge,Bridge,Finite memory capacity; O2 register time,,FDS,v1.0,2026-05-12,,,,,"Bounded-memory system maintains unbounded usable history internally without reuse, external memory, compression, or failure.",
FDS-O3-002,Non-injective record reuse creates residual irreversibility ...,Non-injective record reuse creates residual irreversibility relative to an accounting boundary.,Bridge,Bridge,O3-001; O1 finite record formation,,FDS,v1.0,2026-05-12,,,,,Many-to-one update preserves full preimage information without side records or enlarged boundary.,
FDS-O3-003,Physical irreversible record reuse enters an entropy/resourc...,Physical irreversible record reuse enters an entropy/resource ledger under bridge assumptions.,Bridge,Bridge,O3-002; P1 Landauer bridge,,FDS,v1.0,2026-05-12,,,,,Reliable physical erasure or overwrite violates Landauer-style accounting under stated assumptions.,
FDS-O3-004,Stable finite records require housekeeping beyond logical er...,Stable finite records require housekeeping beyond logical erasure.,Bridge,Bridge,O3-003; P2 garbage entropy rate,,FDS,v1.0,2026-05-12,,,,,"Refresh, retention, clocking, synchronization, carrier repair, and verification cost-free in every implementation.",
FDS-O3-005,Externalization shifts the operational Second-Law channel ac...,Externalization shifts the operational Second-Law channel across accounting boundaries.,Bridge,Bridge,O3-003; P1 accounting boundary,,FDS,v1.0,2026-05-12,,,,,"External records impose no write, verification, retrieval, latency, maintenance, or environmental cost.",
FDS-O3-006,Pruning and invariant compression can reduce future entropy ...,Pruning and invariant compression can reduce future entropy pressure when task identity is preserved.,Bridge,Bridge,O3-004; T3 Phase-B invariants,,FDS,v1.0,2026-05-12,,,,,"No task-preserving quotient, pruning, or compression ever reduces future record-maintenance cost.",
FDS-O3-007,"Sustained residual record turnover, fixed boundary tolerance...","Sustained residual record turnover, fixed boundary tolerance, and zero coupled entropy/resource cost cannot persist indefinitely.",Bridge,Bridge,O3-001--006,,FDS,v1.0,2026-05-12,,,,,Finite active-boundary system maintains sustained residual turnover at fixed tolerance with no ledger cost and no exit channel.,
FDS-O3-008,Topological or invariant persistence redirects entropy accou...,Topological or invariant persistence redirects entropy accounting rather than violating the Second Law.,Bridge,Bridge,O3-003; Core invariant-supported persistence,,FDS,v1.0,2026-05-12,,,,,Protected invariant supplies perpetual work or global entropy-law violation rather than bounded persistence or entropy relocation.,
A1,Passive mappers do not qualify as strong FDS-agents.,Passive mappers do not qualify as strong FDS-agents.,Operational,Operational,"Boundary, update, resource, and persistence criteria",,A1,v1.0,2026-05-18,,,,,Update ablation does not affect future boundary-maintenance loss.,
FDS-A1-D,Strong FDS-agency requires resource-governed persistence.,Strong FDS-agency requires resource-governed persistence.,Operational,Operational,FDS tuple + persistence test,,FDS,v1.0,2026-05-12,,,,,System satisfies task output competence without durable update or boundary maintenance.,
FDS-A1-C,FDS-agency requires action-to-future-state causal influence.,FDS-agency requires action-to-future-state causal influence.,Operational,Operational,Intervention / transfer influence test,,FDS,v1.0,2026-05-12,,,,,Actions have no measurable influence on future boundary-relevant states.,
FDS-A1-E,Capacity-deficit estimation is required to distinguish scali...,Capacity-deficit estimation is required to distinguish scaling from agency.,Operational,Operational,Task demand + system capacity estimate,,FDS,v1.0,2026-05-12,,,,,Systems qualify as agents without measurable boundary-relevant capacity pressure.,
B1,Boundary-maintaining artificial agents can be benchmarked by...,"Boundary-maintaining artificial agents can be benchmarked by ablation, deficit, pruning, externalization, and persistence metrics.",Operational,Operational,Benchmark protocol,,B1,v1.0,2026-05-18,,,,,Metrics fail to distinguish passive mappers from active boundary-maintaining systems.,
N1,Self-organization as boundary maintenance under finite capac...,Self-organization as boundary maintenance under finite capacity.,Domain Bridge,Domain Bridge,FDS core definitions; finite capacity; budget exits,,N1,v1.0,2026-05-18,,,,,Freezing internal update has no effect on future boundary loss.,
FDS-N1-001,Active self-organization requires boundary-maintenance-relev...,Active self-organization requires boundary-maintenance-relevant internal update.,Domain Bridge,Domain Bridge,Active boundary criterion; finite capacity,,FDS,v1.0,2026-05-12,,,,,System classified active even when update ablation has no effect on future boundary loss.,
FDS-N1-002,Effective organizational capacity is task-relative and reduc...,"Effective organizational capacity is task-relative and reduced by coordination, verification, latency, resource, and externalization costs.",Domain Bridge,Domain Bridge,Finite capacity; bottleneck logic,,FDS,v1.0,2026-05-12,,,,,Boundary tasks maintained at full fidelity when all capacity factors fall below demand.,
FDS-N1-003,"Capacity deficit creates maintenance-load pressure, not nece...","Capacity deficit creates maintenance-load pressure, not necessarily raw complexity growth alone.",Domain Bridge,Domain Bridge,Capacity deficit; maintenance load equation,,FDS,v1.0,2026-05-12,,,,,Increasing task demand never increases maintained load in any implementation.,
FDS-N1-004,Unbounded Phase-A growth is impossible under finite resource...,Unbounded Phase-A growth is impossible under finite resource input without exit channels.,Domain Bridge,Domain Bridge,Finite resource envelope; exit channel taxonomy,,FDS,v1.0,2026-05-12,,,,,Active finite systems grow maintained load forever under finite resources with no exit.,
FDS-N1-005,Pruning has a viability window and is resource-gated.,Pruning has a viability window and is resource-gated.,Domain Bridge,Domain Bridge,Resource-gated pruning equation,,FDS,v1.0,2026-05-12,,,,,Pruning strength has no systematic effect on overload or persistence across controlled cases.,
FDS-N1-006,Externalization shifts rather than removes boundary-maintena...,"Externalization shifts rather than removes boundary-maintenance burden, and can clog the environment.",Domain Bridge,Domain Bridge,Accounting boundary; externalization ROI equation,,FDS,v1.0,2026-05-12,,,,,"External records impose no storage, verification, retrieval, or repair burden in any implementation.",
FDS-N1-007,Phase-C catastrophic feedback couples boundary loss with res...,Phase-C catastrophic feedback couples boundary loss with resource depletion.,Domain Bridge,Domain Bridge,Resource and loss dynamics; positive loop gain,,FDS,v1.0,2026-05-12,,,,,Resource depletion and boundary loss never couple positively in collapse-prone systems.,
FDS-N1-008,"Phase-B residues are biased toward low-maintenance, task-rel...","Phase-B residues are biased toward low-maintenance, task-relevant invariants.",Domain Bridge,Domain Bridge,T3 Phase-B invariants; survival score function,,FDS,v1.0,2026-05-12,,,,,Residues after overload show no bias toward reduced maintenance cost or task relevance.,
S1,Organizations and civilizations can be modeled as active fin...,Organizations and civilizations can be modeled as active finite distinction systems.,Domain Bridge,Domain Bridge,Institutional boundary + memory + resource budget,,S1,v1.0,2026-05-18,,,,,"Persistent institutions avoid collapse under unlimited complexity growth without pruning, externalization, or reform.",
P3,Environmental forgetting: finite baths have limited accessib...,Environmental forgetting: finite baths have limited accessible recovery capacity.,Physical bridge,Physical bridge,FDS core finite capacity; P4 preimage loss,,P3,v1.0,2026-05-18,,,,,Finite accessible environment preserves unbounded side records indefinitely with no cost or degradation.,
X1,High-risk bridge hypothesis: horizon-maintenance dark energy...,High-risk bridge hypothesis: horizon-maintenance dark energy under finite distinguishability budgets.,High-Risk,High-Risk,Cosmological bridge assumptions,,X1,v1.0,2026-05-18,,,,,Observations force exact Lambda behavior beyond stated tolerance.,
P5,Deficit-driven entropy-production ledger for active finite s...,Deficit-driven entropy-production ledger for active finite systems.,Bridge,Bridge,FDS core definitions; Landauer bridge; accounting boundary,,P5,v1.0,2026-05-18,,,,,Sustained positive deficit shows zero measurable physical cost under controlled conditions.,
FDS-P5-001,"Capacity deficit is task-relative information shortfall, not...","Capacity deficit is task-relative information shortfall, not thermodynamic entropy.",Bridge,Bridge,Rate-distortion demand; effective capacity,,FDS,v1.0,2026-05-12,,,,,Not empirical (boundary statement separating formal from physical).,
FDS-P5-002,Sustained deficit plus boundary maintenance requires correct...,"Sustained deficit plus boundary maintenance requires correction, externalization, or failure.",Bridge,Bridge,Budget exits; deficit definition,,FDS,v1.0,2026-05-12,,,,,Finite system maintains task at fixed tolerance despite deficit and no correction or exit.,
FDS-P5-003,Physical correction cycles induce audit channels through upd...,"Physical correction cycles induce audit channels through update, refresh, repair, synchronization, externalization, and transport.",Bridge,Bridge,Carrier criterion; accounting boundary,,FDS,v1.0,2026-05-12,,,,,"Sustained correction, refresh, repair, and sync at zero entropy or resource cost.",
FDS-P5-004,Logical erasure contributes a Landauer-style entropy-product...,Logical erasure contributes a Landauer-style entropy-production floor under bridge assumptions.,Bridge,Bridge,Landauer bridge; correction channels,,FDS,v1.0,2026-05-12,,,,,Logically irreversible erature violates Landauer lower bound under stated assumptions.,
FDS-P5-005,Housekeeping entropy persists even when logical erasure is z...,Housekeeping entropy persists even when logical erasure is zero.,Bridge,Bridge,Reversible embedding; carrier maintenance,,FDS,v1.0,2026-05-12,,,,,"Boundary maintenance, refresh, clocking, sensing, and repair cost-free when erasure is zero.",
FDS-P5-006,Externalization shifts rather than removes the entropy ledge...,Externalization shifts rather than removes the entropy ledger.,Bridge,Bridge,Accounting boundary; externalization audit,,FDS,v1.0,2026-05-12,,,,,"External records impose no write, verification, retrieval, sync, or maintenance cost.",
FDS-P5-007,Pruning and invariant compression can reduce future entropy-...,Pruning and invariant compression can reduce future entropy-production pressure.,Bridge,Bridge,T3 Phase-B invariants; pruning ROI model,,FDS,v1.0,2026-05-12,,,,,"No task-preserving simplification ever reduces refresh, repair, or verification cost.",
FDS-P5-008,"Deficit crossing predicts measurable signatures in heat, res...","Deficit crossing predicts measurable signatures in heat, resource use, latency, resets, or error floor.",Bridge,Bridge,Deficit-crossing protocol; ledger decomposition,,FDS,v1.0,2026-05-12,,,,,Positive deficit sustained with no measurable change in any physical or task channel.,
